Country Code,Short Name,Region,year,GDPPerCapita,GDPperCapitaPPP,Homicide,HomicideFemale,HomicideFemale,Population
ASM,American Samoa,East Asia & Pacific,1996,,,,,,"53,929"
ATG,Antigua and Barbuda,Latin America & Caribbean,1996,"10,835","17,098",,,,"75,628"
AUS,Australia,East Asia & Pacific,1996,"39,054","31,179",2,,,"18,311,000"
AUT,Austria,Europe & Central Asia,1996,"37,346","34,539",1,,,"7,959,017"
AZE,Azerbaijan,Europe & Central Asia,1996,"1,220","3,329",,,,"7,763,000"
BDI,Burundi,Sub-Saharan Africa,1996,239,749,,,,"6,041,112"
BEL,Belgium,Europe & Central Asia,1996,"35,720","33,068",,,,"10,156,637"
BEN,Benin,Sub-Saharan Africa,1996,638,"1,532",,,,"6,094,259"
BFA,Burkina Faso,Sub-Saharan Africa,1996,390,965,,,,"10,372,745"
BGD,Bangladesh,South Asia,1996,456,"1,471",,,,"121,269,645"
BGR,Bulgaria,Europe & Central Asia,1996,"3,828","8,550",5,,,"8,362,826"
BHR,Bahrain,Middle East & North Africa,1996,"22,221","43,505",,,,"578,668"
BHS,The Bahamas,Latin America & Caribbean,1996,"27,802","29,037",,,,"283,790"
BIH,Bosnia and Herzegovina,Europe & Central Asia,1996,"1,666","3,508",,,,"3,780,378"
BLR,Belarus,Europe & Central Asia,1996,"2,141","5,632",9,,,"10,160,000"
BLZ,Belize,Latin America & Caribbean,1996,"3,363","6,094",,,,"213,676"
BMU,Bermuda,North America,1996,"66,970","42,817",6,,,"60,129"
BOL,Bolivia,Latin America & Caribbean,1996,"1,539","4,202",,,,"7,717,443"
BRA,Brazil,Latin America & Caribbean,1996,"8,575","11,108",,,,"164,913,306"
BRB,Barbados,Latin America & Caribbean,1996,"13,614","13,800",,,,"265,942"
BRN,Brunei,East Asia & Pacific,1996,"37,833","86,412",,,,"304,699"
BTN,Bhutan,South Asia,1996,"1,029","3,032",,,,"519,282"
